Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,750.700012,759.369995,749.500000,752.280029,752.280029,3943710000
2012-01-04,748.349976,749.609985,742.890015,747.280029,747.280029,3592580000
2012-01-05,743.729980,754.390015,736.780029,752.289978,752.289978,4315950000
2012-01-06,752.109985,754.750000,745.789978,749.710022,749.710022,3656830000
2012-01-09,753.070007,754.440002,747.260010,753.510010,753.510010,3371600000
2012-01-10,758.250000,765.280029,758.250000,764.750000,764.750000,4221960000
2012-01-11,762.010010,767.869995,761.099976,767.239990,767.239990,3968120000
2012-01-12,768.679993,770.619995,761.919983,770.489990,770.489990,4019890000
2012-01-13,763.119995,765.989990,758.950012,764.200012,764.200012,3692370000
2012-01-17,769.049988,773.260010,763.809998,765.530029,765.530029,4010490000
2012-01-18,765.489990,779.260010,764.700012,779.260010,779.260010,4096160000
2012-01-19,780.630005,784.570007,779.080017,782.369995,782.369995,4465890000
2012-01-20,780.849976,785.880005,780.219971,784.619995,784.619995,3912620000
2012-01-23,784.349976,789.409973,778.380005,783.049988,783.049988,3770910000
2012-01-24,779.099976,788.799988,775.580017,788.270020,788.270020,3693560000
2012-01-25,787.429993,796.539978,784.099976,795.580017,795.580017,4410910000
2012-01-26,798.469971,800.219971,789.780029,792.909973,792.909973,4522070000
2012-01-27,789.710022,798.849976,789.690002,798.849976,798.849976,4007380000
2012-01-30,797.940002,797.940002,787.489990,792.380005,792.380005,3659010000
2012-01-31,794.969971,795.010010,788.020020,792.820007,792.820007,4235550000
2012-02-01,796.989990,810.190002,796.989990,809.659973,809.659973,4504360000
2012-02-02,810.239990,815.880005,809.140015,812.890015,812.890015,4120920000
2012-02-03,820.840027,833.020020,820.840027,831.109985,831.109985,4608550000
2012-02-06,827.479980,830.070007,825.619995,828.369995,828.369995,3379700000
2012-02-07,827.059998,830.659973,822.900024,827.369995,827.369995,3742460000
2012-02-08,827.250000,832.640015,821.580017,828.390015,828.390015,4096730000
2012-02-09,829.969971,830.789978,821.099976,824.989990,824.989990,4209890000
2012-02-10,823.400024,823.400024,812.849976,813.330017,813.330017,3877580000
2012-02-13,820.000000,824.890015,818.099976,824.809998,824.809998,3618040000
2012-02-14,824.760010,824.760010,815.419983,820.650024,820.650024,3889520000
2012-02-15,823.229980,824.140015,811.859985,813.979980,813.979980,4080340000
2012-02-16,813.630005,829.960022,813.630005,829.960022,829.960022,4108880000
2012-02-17,832.099976,832.229980,827.750000,828.679993,828.679993,3717640000
2012-02-21,830.099976,831.010010,820.369995,823.200012,823.200012,3795200000
2012-02-22,820.580017,823.619995,816.500000,816.500000,816.500000,3633710000
2012-02-23,817.770020,829.450012,814.270020,829.229980,829.229980,3786450000
2012-02-24,829.200012,830.869995,826.559998,826.919983,826.919983,3505360000
2012-02-27,822.000000,829.549988,814.919983,826.659973,826.659973,3648890000
2012-02-28,826.929993,830.659973,820.030029,823.799988,823.799988,3579120000
2012-02-29,824.880005,829.229980,810.929993,810.940002,810.940002,4482370000
2012-03-01,813.969971,823.789978,813.969971,815.219971,815.219971,3919240000
2012-03-02,815.299988,816.799988,800.130005,802.419983,802.419983,3283490000
2012-03-05,801.950012,804.260010,795.989990,803.650024,803.650024,3429480000
2012-03-06,796.460022,796.460022,785.409973,787.090027,787.090027,4191060000
2012-03-07,790.030029,796.179993,789.260010,795.950012,795.950012,3580380000
2012-03-08,800.640015,806.799988,794.820007,806.340027,806.340027,3543060000
2012-03-09,806.789978,821.190002,806.429993,817.000000,817.000000,3639470000
2012-03-12,817.309998,819.130005,811.840027,814.289978,814.289978,3081870000
2012-03-13,819.340027,831.229980,818.219971,831.229980,831.229980,4386470000
2012-03-14,830.070007,831.609985,821.179993,823.400024,823.400024,4502280000
2012-03-15,824.479980,831.460022,821.530029,831.460022,831.460022,4271650000
2012-03-16,832.219971,832.780029,827.679993,830.179993,830.179993,5163950000
2012-03-19,829.450012,843.250000,828.500000,837.770020,837.770020,3932570000
2012-03-20,832.309998,832.309998,826.700012,829.239990,829.239990,3695280000
2012-03-21,831.000000,833.840027,827.460022,829.919983,829.919983,3573590000
